Índice de Desenvolvimento Humano - Municípios da UF: Acre;;;
Abrangências geográficas;1991;2000;2010
Acrelândia;0,247;0,451;0,604
Assis Brasil;0,314;0,425;0,588
Brasiléia;0,336;0,476;0,614
Bujari;0,267;0,460;0,589
Capixaba;0,183;0,365;0,575
Cruzeiro do Sul;0,398;0,510;0,664
Epitaciolândia;0,372;0,474;0,653
Feijó;0,258;0,323;0,539
Jordão;0,170;0,222;0,469
Mâncio Lima;0,298;0,456;0,625
Manoel Urbano;0,218;0,395;0,551
Marechal Thaumaturgo;0,186;0,301;0,501
Plácido de Castro;0,265;0,464;0,622
Porto Walter;0,176;0,342;0,532
Rio Branco;0,485;0,591;0,727
Rodrigues Alves;0,245;0,399;0,567
Santa Rosa do Purus;0,167;0,277;0,517
Senador Guiomard;0,354;0,488;0,640
Sena Madureira;0,317;0,451;0,603
Tarauacá;0,274;0,386;0,539
Xapuri;0,348;0,445;0,599
Porto Acre;0,259;0,443;0,576
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
