Índice de Desenvolvimento Humano - Municípios da UF: Mato Grosso;;;
Abrangências geográficas;1991;2000;2010
Acorizal;0,386;0,500;0,628
Água Boa;0,426;0,603;0,729
Alta Floresta;0,391;0,585;0,714
Alto Araguaia;0,430;0,583;0,704
Alto Boa Vista;0,380;0,496;0,651
Alto Garças;0,451;0,626;0,701
Alto Paraguai;0,331;0,507;0,638
Alto Taquari;0,455;0,634;0,705
Apiacás;0,386;0,501;0,675
Araguaiana;0,381;0,552;0,687
Araguainha;0,424;0,573;0,701
Araputanga;0,420;0,604;0,725
Arenápolis;0,431;0,587;0,704
Aripuanã;0,410;0,528;0,675
Barão de Melgaço;0,320;0,446;0,600
Barra do Bugres;0,404;0,550;0,693
Barra do Garças;0,491;0,631;0,748
Bom Jesus do Araguaia;0,223;0,429;0,661
Brasnorte;0,396;0,517;0,696
Cáceres;0,420;0,586;0,708
Campinápolis;0,273;0,443;0,538
Campo Novo do Parecis;0,495;0,595;0,734
Campo Verde;0,521;0,638;0,750
Campos de Júlio;0,460;0,636;0,744
Canabrava do Norte;0,263;0,486;0,667
Canarana;0,480;0,565;0,693
Carlinda;0,253;0,484;0,665
Castanheira;0,296;0,489;0,665
Chapada dos Guimarães;0,394;0,522;0,688
Cláudia;0,398;0,563;0,699
Cocalinho;0,328;0,500;0,660
Colíder;0,355;0,575;0,713
Colniza;0,310;0,404;0,611
Comodoro;0,389;0,521;0,689
Confresa;0,287;0,451;0,668
Conquista D'Oeste;0,276;0,456;0,718
Cotriguaçu;0,383;0,470;0,601
Cuiabá;0,569;0,692;0,785
Curvelândia;0,329;0,530;0,690
Denise;0,372;0,564;0,683
Diamantino;0,513;0,636;0,718
Dom Aquino;0,458;0,555;0,690
Feliz Natal;0,356;0,515;0,692
Figueirópolis D'Oeste;0,366;0,576;0,679
Gaúcha do Norte;0,183;0,510;0,615
General Carneiro;0,364;0,486;0,670
Glória D'Oeste;0,355;0,574;0,710
Guarantã do Norte;0,357;0,530;0,703
Guiratinga;0,432;0,588;0,705
Indiavaí;0,399;0,517;0,661
Ipiranga do Norte;0,280;0,603;0,727
Itanhangá;0,392;0,506;0,710
Itaúba;0,374;0,511;0,690
Itiquira;0,405;0,541;0,693
Jaciara;0,495;0,634;0,735
Jangada;0,308;0,496;0,630
Jauru;0,314;0,500;0,673
Juara;0,385;0,572;0,682
Juína;0,403;0,560;0,716
Juruena;0,467;0,540;0,662
Juscimeira;0,431;0,568;0,714
Lambari D'Oeste;0,262;0,472;0,627
Lucas do Rio Verde;0,549;0,658;0,768
Luciara;0,352;0,534;0,676
Vila Bela da Santíssima T;0,328;0,502;0,645
Marcelândia;0,384;0,573;0,701
Matupá;0,442;0,564;0,716
Mirassol d'Oeste;0,442;0,582;0,704
Nobres;0,423;0,538;0,699
Nortelândia;0,420;0,567;0,702
Nossa Senhora do Livramen;0,359;0,464;0,638
Nova Bandeirantes;0,355;0,434;0,650
Nova Nazaré;0,250;0,463;0,595
Nova Lacerda;0,292;0,464;0,636
Nova Santa Helena;0,343;0,497;0,714
Nova Brasilândia;0,365;0,516;0,651
Nova Canaã do Norte;0,331;0,484;0,686
Nova Mutum;0,432;0,640;0,758
Nova Olímpia;0,403;0,524;0,682
Nova Ubiratã;0,411;0,515;0,669
Nova Xavantina;0,444;0,587;0,704
Novo Mundo;0,273;0,492;0,674
Novo Horizonte do Norte;0,345;0,524;0,664
Novo São Joaquim;0,355;0,511;0,649
Paranaíta;0,353;0,516;0,672
Paranatinga;0,334;0,544;0,667
Novo Santo Antônio;0,278;0,373;0,653
Pedra Preta;0,407;0,565;0,679
Peixoto de Azevedo;0,380;0,502;0,649
Planalto da Serra;0,296;0,492;0,656
Poconé;0,419;0,528;0,652
Pontal do Araguaia;0,384;0,607;0,734
Ponte Branca;0,430;0,563;0,686
Pontes e Lacerda;0,383;0,548;0,703
Porto Alegre do Norte;0,297;0,519;0,673
Porto dos Gaúchos;0,384;0,585;0,685
Porto Esperidião;0,327;0,478;0,652
Porto Estrela;0,224;0,404;0,599
Poxoréo;0,396;0,554;0,678
Primavera do Leste;0,507;0,637;0,752
Querência;0,409;0,541;0,692
São José dos Quatro Marco;0,400;0,571;0,719
Reserva do Cabaçal;0,366;0,548;0,676
Ribeirão Cascalheira;0,354;0,492;0,670
Ribeirãozinho;0,343;0,573;0,692
Rio Branco;0,403;0,539;0,707
Santa Carmem;0,484;0,579;0,715
Santo Afonso;0,340;0,530;0,689
São José do Povo;0,348;0,515;0,661
São José do Rio Claro;0,443;0,562;0,682
São José do Xingu;0,296;0,497;0,657
São Pedro da Cipa;0,365;0,563;0,660
Rondolândia;0,204;0,403;0,640
Rondonópolis;0,480;0,638;0,755
Rosário Oeste;0,359;0,534;0,650
Santa Cruz do Xingu;0,397;0,509;0,684
Salto do Céu;0,320;0,507;0,666
Santa Rita do Trivelato;0,316;0,596;0,735
Santa Terezinha;0,329;0,481;0,609
Santo Antônio do Leste;0,371;0,529;0,655
Santo Antônio do Leverger;0,363;0,534;0,656
São Félix do Araguaia;0,407;0,569;0,668
Sapezal;0,341;0,601;0,732
Serra Nova Dourada;0,302;0,498;0,664
Sinop;0,500;0,626;0,754
Sorriso;0,517;0,664;0,744
Tabaporã;0,339;0,510;0,695
Tangará da Serra;0,443;0,621;0,729
Tapurah;0,431;0,624;0,714
Terra Nova do Norte;0,363;0,521;0,698
Tesouro;0,412;0,588;0,655
Torixoréu;0,462;0,593;0,716
União do Sul;0,309;0,525;0,665
Vale de São Domingos;0,305;0,474;0,656
Várzea Grande;0,471;0,620;0,734
Vera;0,420;0,563;0,680
Vila Rica;0,404;0,485;0,688
Nova Guarita;0,289;0,516;0,688
Nova Marilândia;0,441;0,557;0,704
Nova Maringá;0,352;0,475;0,663
Nova Monte Verde;0,313;0,495;0,691
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
