Índice de Desenvolvimento Humano - Municípios da UF: Rio de Janeiro;;;
Abrangências geográficas;1991;2000;2010
Angra dos Reis;0,492;0,599;0,724
Aperibé;0,483;0,620;0,692
Araruama;0,449;0,579;0,718
Areal;0,491;0,611;0,684
Armação dos Búzios;0,489;0,604;0,728
Arraial do Cabo;0,513;0,632;0,733
Barra do Piraí;0,541;0,626;0,733
Barra Mansa;0,527;0,641;0,729
Belford Roxo;0,468;0,570;0,684
Bom Jardim;0,412;0,561;0,660
Bom Jesus do Itabapoana;0,490;0,625;0,732
Cabo Frio;0,515;0,614;0,735
Cachoeiras de Macacu;0,455;0,580;0,700
Cambuci;0,464;0,599;0,691
Carapebus;0,412;0,579;0,713
Comendador Levy Gasparian;0,463;0,597;0,685
Campos dos Goytacazes;0,505;0,618;0,716
Cantagalo;0,472;0,612;0,709
Cardoso Moreira;0,386;0,520;0,648
Carmo;0,502;0,621;0,696
Casimiro de Abreu;0,491;0,619;0,726
Conceição de Macabu;0,483;0,615;0,712
Cordeiro;0,552;0,644;0,729
Duas Barras;0,405;0,543;0,659
Duque de Caxias;0,506;0,601;0,711
Engenheiro Paulo de Front;0,497;0,604;0,722
Guapimirim;0,405;0,572;0,698
Iguaba Grande;0,458;0,626;0,761
Itaboraí;0,415;0,553;0,693
Itaguaí;0,483;0,589;0,715
Italva;0,462;0,561;0,688
Itaocara;0,497;0,627;0,713
Itaperuna;0,511;0,624;0,730
Itatiaia;0,513;0,653;0,737
Japeri;0,419;0,529;0,659
Laje do Muriaé;0,435;0,561;0,668
Macaé;0,534;0,665;0,764
Macuco;0,450;0,625;0,703
Magé;0,455;0,573;0,709
Mangaratiba;0,478;0,642;0,753
Maricá;0,520;0,637;0,765
Mendes;0,532;0,642;0,736
Mesquita;0,543;0,634;0,737
Miguel Pereira;0,505;0,642;0,745
Miracema;0,502;0,615;0,713
Natividade;0,481;0,626;0,730
Nilópolis;0,565;0,656;0,753
Niterói;0,681;0,771;0,837
Nova Friburgo;0,537;0,654;0,745
Nova Iguaçu;0,502;0,597;0,713
Paracambi;0,479;0,615;0,720
Paraíba do Sul;0,532;0,619;0,702
Paraty;0,491;0,583;0,693
Paty do Alferes;0,431;0,541;0,671
Petrópolis;0,552;0,649;0,745
Pinheiral;0,527;0,614;0,715
Piraí;0,513;0,612;0,708
Porciúncula;0,464;0,572;0,697
Porto Real;0,445;0,568;0,713
Quatis;0,493;0,591;0,690
Queimados;0,448;0,550;0,680
Quissamã;0,406;0,561;0,704
Resende;0,560;0,660;0,768
Rio Bonito;0,483;0,609;0,710
Rio Claro;0,439;0,584;0,683
Rio das Flores;0,499;0,603;0,680
Rio das Ostras;0,445;0,620;0,773
Rio de Janeiro;0,639;0,716;0,799
Santa Maria Madalena;0,417;0,573;0,668
Santo Antônio de Pádua;0,493;0,611;0,718
São Francisco de Itabapoa;0,344;0,503;0,639
São Fidélis;0,449;0,590;0,691
São Gonçalo;0,543;0,641;0,739
São João da Barra;0,484;0,548;0,671
São João de Meriti;0,514;0,620;0,719
São José de Ubá;0,416;0,542;0,652
São José do Vale do Rio P;0,435;0,556;0,660
São Pedro da Aldeia;0,476;0,598;0,712
São Sebastião do Alto;0,400;0,554;0,646
Sapucaia;0,473;0,586;0,675
Saquarema;0,459;0,591;0,709
Seropédica;0,469;0,586;0,713
Silva Jardim;0,389;0,546;0,654
Sumidouro;0,341;0,500;0,611
Tanguá;0,364;0,520;0,654
Teresópolis;0,502;0,627;0,730
Trajano de Moraes;0,383;0,555;0,667
Três Rios;0,522;0,627;0,725
Valença;0,528;0,627;0,738
Varre-Sai;0,385;0,522;0,659
Vassouras;0,513;0,620;0,714
Volta Redonda;0,580;0,682;0,771
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
